EDGE Rank,Order,Family,Species,Common Name,IUCN Category,Assigned IUCN2012,ED Score,ED IQR,ED 05Percentile,ED 95Percentile,EDGE Score,EDGE IQR,EDGE 05Percentile,EDGE 95Percentile
5919,PASSERIFORMES,Pycnonotidae,Phyllastrephus cerviniventris,Grey-olive Greenbul,LC,LC,6.347263,1.643225,4.448457,8.376306,1.994328,0.972,1.695332,2.238186
5920,PASSERIFORMES,Thamnophilidae,Terenura maculata,Streak-capped Antwren,LC,LC,6.34624,4.549093,4.088779,16.169241,1.994189,1.713635,1.627038,2.843119
5921,PASSERIFORMES,Muscicapidae,Muscicapa sethsmithi,Yellow-footed Flycatcher,LC,LC,6.345638,2.693847,3.515731,9.158294,1.994107,1.306669,1.507567,2.318291
5922,PASSERIFORMES,Nectariniidae,Nectarinia verticalis,Green-headed Sunbird,LC,LC,6.345596,3.52868,3.457205,12.117175,1.994101,1.510431,1.494522,2.573922
5923,PASSERIFORMES,Cardinalidae,Cyanoloxia glaucocaerulea,Glaucous-blue Grosbeak,LC,LC,6.345371,1.260495,4.974169,7.961516,1.99407,0.815584,1.787445,2.192939
5924,PASSERIFORMES,Cardinalidae,Cyanocompsa brissonii,Ultramarine Grosbeak,LC,LC,6.345371,1.260495,4.974169,7.961516,1.99407,0.815584,1.787445,2.192939
5925,PASSERIFORMES,Dicruridae,Dicrurus montanus,Sulawesi Drongo,LC,LC,6.34387,3.961421,3.546365,12.803068,1.993866,1.601692,1.514328,2.624891
5926,PASSERIFORMES,Formicariidae,Skutchia borbae,Pale-faced Antbird,LC,LC,6.343394,1.231769,4.978734,7.881552,1.993801,0.802795,1.788209,2.183976
5927,GRUIFORMES,Rallidae,Fulica atra,Common Coot,LC,LC,6.341703,2.189016,4.258061,9.42523,1.993571,1.159712,1.659762,2.344229
5928,PASSERIFORMES,Thamnophilidae,Phlegopsis nigromaculata,Black-spotted Bare-eye,LC,LC,6.341427,1.231675,4.965535,7.880406,1.993533,0.802753,1.785999,2.183847
5929,COLUMBIFORMES,Columbidae,Ptilinopus ornatus,Ornate Fruit-dove,LC,LC,6.340464,4.474729,3.115448,13.808028,1.993402,1.700143,1.414748,2.695169
